BULAN,TAVG,RH_AVG,RR,SS,TAHUN
1,27.363333333333333,86.4,16.73076923076923,3.4466666666666668,2020
2,27.093103448275862,87.10344827586206,20.54090909090909,2.903448275862069,2020
3,27.809677419354838,83.93548387096774,12.600000000000001,4.203225806451614,2020
4,28.183333333333334,82.76666666666667,14.5,5.246666666666667,2020
5,28.583870967741937,80.41935483870968,9.894444444444444,4.758064516129032,2020
6,28.706666666666667,76.5,2.8133333333333335,5.1899999999999995,2020
7,28.373333333333335,74.19354838709677,2.9625,5.803225806451613,2020
8,28.50689655172414,74.03225806451613,4.761111111111111,7.019354838709678,2020
9,30.453333333333333,66.33333333333333,10.635294117647058,6.45,2020
10,27.924242424242426,79.18181818181819,23.322727272727274,5.253125,2020
11,28.290909090909093,79.36363636363636,6.485185185185185,5.106060606060606,2020
12,27.364516129032257,81.61290322580645,5.490909090909091,3.7580645161290325,2020
