BULAN,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,TAHUN
1,24.64516129032258,32.31612903225806,28.903225806451612,80.03225806451613,21.525,3.990322580645161,4.258064516129032,232.58064516129033,1.8709677419354838,2024
2,25.120689655172413,32.58275862068965,29.32758620689655,82.06896551724138,11.8,3.8448275862068964,4.344827586206897,244.13793103448276,1.9310344827586208,2024
3,24.79032258064516,32.01935483870968,28.993548387096773,82.80645161290323,19.434782608695652,3.8161290322580643,4.387096774193548,210.96774193548387,1.8387096774193548,2024
4,25.39,33.60333333333333,30.116666666666667,81.6,19.86315789473684,4.286666666666666,3.6666666666666665,127.66666666666667,1.2666666666666666,2024
5,26.448387096774194,33.95483870967742,31.070967741935487,77.29032258064517,8.142857142857142,4.764516129032257,3.5161290322580645,80.3225806451613,1.5806451612903225,2024
6,25.709999999999997,33.20666666666667,30.11,78.93333333333334,9.542857142857144,4.92,3.6333333333333333,112.0,1.4666666666666666,2024
7,24.88,33.10967741935484,28.333333333333332,73.96666666666667,33.800000000000004,6.126666666666667,3.806451612903226,95.16129032258064,1.6129032258064515,2024
8,25.361290322580647,34.20645161290323,28.719354838709677,71.3225806451613,12.833333333333334,6.532258064516129,4.0,123.2258064516129,1.7741935483870968,2024
9,25.586666666666666,34.31333333333334,28.916666666666668,73.9,14.11111111111111,6.2,4.366666666666666,105.66666666666667,1.8333333333333333,2024
10,26.038709677419355,35.1741935483871,29.758064516129032,72.45161290322581,5.2,6.403225806451613,4.129032258064516,95.16129032258064,1.8064516129032258,2024
11,25.16296296296296,33.583333333333336,28.276666666666664,80.13333333333334,23.25,4.233333333333333,4.366666666666666,168.33333333333334,1.6666666666666667,2024
12,25.15806451612903,31.72258064516129,27.61935483870968,81.80645161290323,8.157894736842104,2.9499999999999997,4.580645161290323,255.48387096774192,2.225806451612903,2024
